iter	Passed	Remaining
992	9716	9853
993	9725	9843
994	9736	9834
995	9746	9824
996	9757	9816
997	9768	9807
998	9778	9798
999	9789	9789
1000	9799	9780
1001	9808	9769
1002	9818	9759
1003	9827	9749
1004	9837	9739
1005	9846	9729
1006	9857	9720
1007	9865	9708
1008	9874	9698
1009	9884	9689
1010	9894	9678
1011	9904	9669
1012	9914	9660
1013	9922	9648
1014	9931	9638
1015	9939	9626
1016	9948	9615
1017	9957	9605
1018	9969	9598
1019	9980	9589
1020	9990	9579
1021	10000	9569
1022	10009	9559
1023	10019	9549
1024	10029	9539
1025	10039	9530
1026	10048	9520
1027	10056	9509
1028	10066	9498
1029	10074	9488
1030	10085	9479
1031	10095	9469
1032	10104	9459
1033	10114	9449
1034	10123	9438
1035	10132	9427
1036	10140	9417
1037	10150	9407
1038	10161	9398
1039	10173	9390
1040	10184	9382
1041	10196	9374
1042	10207	9365
1043	10216	9355
1044	10226	9345
1045	10235	9335
1046	10245	9325
1047	10255	9316
1048	10267	9307
1049	10277	9298
1050	10289	9290
1051	10299	9281
1052	10310	9272
1053	10320	9262
1054	10331	9254
1055	10343	9246
1056	10353	9236
1057	10365	9228
1058	10375	9219
1059	10385	9210
1060	10396	9201
1061	10406	9191
1062	10416	9181
1063	10427	9172
1064	10437	9163
1065	10447	9153
1066	10458	9145
1067	10470	9136
1068	10480	9127
1069	10492	9119
1070	10503	9111
1071	10515	9102
1072	10525	9093
1073	10537	9084
1074	10548	9076
1075	10558	9067
1076	10567	9056
1077	10577	9046
1078	10585	9035
1079	10595	9026
1080	10607	9018
1081	10618	9008
1082	10629	8999
1083	10639	8990
1084	10649	8981
1085	10660	8971
1086	10669	8961
1087	10681	8953
1088	10692	8944
1089	10702	8935
1090	10713	8926
1091	10725	8917
1092	10735	8908
1093	10747	8900
1094	10760	8893
1095	10769	8883
1096	10781	8874
1097	10791	8865
1098	10801	8855
1099	10811	8846
1100	10821	8836
1101	10830	8825
1102	10841	8816
1103	10852	8807
1104	10861	8797
1105	10871	8787
1106	10882	8778
1107	10893	8769
1108	10904	8760
1109	10913	8750
1110	10923	8740
1111	10933	8731
1112	10945	8723
1113	10958	8715
1114	10969	8707
1115	10980	8697
1116	10990	8687
1117	10999	8677
1118	11007	8666
1119	11016	8655
1120	11027	8646
1121	11036	8636
1122	11047	8627
1123	11059	8619
1124	11071	8610
1125	11080	8601
1126	11092	8592
1127	11102	8582
1128	11112	8572
1129	11122	8563
1130	11132	8553
1131	11142	8543
1132	11150	8532
1133	11159	8522
1134	11169	8512
1135	11178	8502
1136	11188	8492
1137	11197	8481
1138	11206	8471
1139	11215	8460
1140	11223	8449
1141	11233	8439
1142	11244	8430
1143	11254	8421
1144	11264	8411
1145	11274	8401
1146	11285	8392
1147	11294	8382
1148	11305	8373
1149	11314	8363
1150	11323	8352
1151	11334	8343
1152	11343	8333
1153	11353	8323
1154	11362	8312
1155	11371	8302
1156	11380	8291
1157	11391	8282
1158	11399	8271
1159	11409	8261
1160	11418	8251
1161	11427	8241
1162	11436	8231
1163	11445	8220
1164	11455	8210
1165	11464	8199
1166	11473	8189
1167	11484	8180
1168	11494	8171
1169	11505	8162
1170	11516	8152
1171	11525	8142
1172	11536	8133
1173	11546	8123
1174	11555	8113
1175	11564	8103
1176	11573	8092
1177	11582	8082
1178	11591	8071
1179	11599	8061
1180	11609	8051
1181	11617	8040
1182	11627	8030
1183	11636	8019
1184	11645	8009
1185	11655	7999
1186	11665	7989
1187	11675	7980
1188	11685	7970
1189	11695	7960
1190	11705	7950
1191	11715	7941
1192	11725	7931
1193	11734	7921
1194	11744	7911
1195	11754	7901
1196	11764	7892
1197	11774	7882
1198	11784	7872
1199	11793	7862
1200	11801	7851
1201	11811	7841
1202	11820	7831
1203	11829	7820
1204	11837	7810
1205	11845	7799
1206	11855	7788
1207	11863	7777
1208	11873	7768
1209	11882	7757
1210	11891	7747
1211	11901	7737
1212	11910	7727
1213	11922	7719
1214	11932	7709
1215	11943	7700
1216	11954	7691
1217	11963	7681
1218	11973	7671
1219	11982	7661
1220	11991	7650
1221	11999	7639
1222	12009	7629
1223	12018	7619
1224	12027	7609
1225	12038	7600
1226	12047	7590
1227	12057	7580
1228	12066	7569
1229	12074	7558
1230	12083	7548
1231	12093	7538
1232	12101	7527
1233	12110	7517
1234	12120	7507
1235	12129	7497
1236	12139	7488
1237	12149	7478
1238	12159	7468
1239	12169	7458
1240	12179	7448
1241	12189	7439
1242	12199	7429
1243	12208	7419
1244	12216	7408
1245	12225	7398
1246	12234	7387
1247	12242	7376
1248	12252	7367
1249	12261	7356
1250	12270	7346
1251	12280	7336
1252	12289	7326
1253	12299	7316
1254	12309	7307
1255	12319	7297
1256	12327	7286
1257	12336	7276
1258	12346	7266
1259	12357	7257
1260	12366	7247
1261	12376	7237
1262	12386	7227
1263	12396	7218
1264	12406	7208
1265	12416	7198
1266	12425	7188
1267	12435	7178
1268	12443	7168
1269	12452	7157
1270	12461	7147
1271	12471	7137
1272	12479	7126
1273	12488	7116
1274	12498	7107
1275	12507	7096
1276	12517	7086
1277	12526	7077
1278	12537	7067
1279	12548	7058
1280	12558	7049
1281	12568	7039
1282	12578	7029
1283	12589	7020
1284	12599	7010
1285	12608	7000
1286	12618	6990
1287	12629	6981
1288	12638	6971
1289	12647	6960
1290	12655	6950
1291	12664	6940
1292	12673	6929
1293	12683	6919
1294	12694	6910
1295	12703	6900
1296	12712	6890
1297	12721	6880
1298	12729	6869
1299	12738	6859
1300	12748	6849
1301	12758	6839
1302	12767	6829
1303	12777	6819
1304	12787	6810
1305	12797	6800
1306	12807	6790
1307	12817	6781
1308	12827	6771
1309	12837	6761
1310	12847	6751
1311	12855	6741
1312	12864	6731
1313	12873	6720
1314	12882	6710
1315	12891	6700
1316	12900	6690
1317	12909	6679
1318	12917	6669
1319	12927	6659
1320	12937	6649
1321	12947	6640
1322	12957	6630
1323	12967	6620
1324	12976	6610
1325	12985	6600
1326	12993	6589
1327	13003	6579
1328	13013	6570
1329	13023	6560
1330	13034	6551
1331	13043	6541
1332	13053	6531
1333	13064	6522
1334	13073	6512
1335	13084	6503
1336	13094	6493
1337	13104	6483
1338	13114	6474
1339	13123	6463
1340	13133	6454
1341	13143	6444
1342	13152	6434
1343	13162	6424
1344	13171	6414
1345	13180	6404
1346	13190	6394
1347	13199	6384
1348	13209	6374
1349	13220	6365
1350	13232	6356
1351	13242	6347
1352	13253	6337
1353	13263	6327
1354	13273	6318
1355	13283	6308
1356	13295	6299
1357	13305	6290
1358	13317	6281
1359	13328	6272
1360	13337	6261
1361	13346	6251
1362	13355	6241
1363	13365	6232
1364	13375	6222
1365	13383	6211
1366	13393	6201
1367	13401	6191
1368	13411	6181
1369	13419	6171
1370	13430	6161
1371	13440	6152
1372	13449	6141
1373	13459	6132
1374	13469	6122
1375	13479	6112
1376	13489	6103
1377	13500	6093
1378	13510	6084
1379	13520	6074
1380	13529	6064
1381	13539	6054
1382	13548	6044
1383	13558	6034
1384	13566	6024
1385	13576	6014
1386	13584	6003
1387	13593	5993
1388	13603	5983
1389	13611	5973
1390	13621	5963
1391	13631	5953
1392	13641	5944
1393	13650	5934
1394	13659	5924
1395	13670	5914
1396	13679	5904
1397	13689	5895
1398	13700	5885
1399	13710	5875
1400	13721	5866
1401	13731	5856
1402	13743	5847
1403	13753	5838
1404	13762	5828
1405	13772	5818
1406	13783	5809
1407	13792	5799
1408	13802	5789
1409	13813	5780
1410	13824	5770
1411	13836	5762
1412	13845	5751
1413	13856	5742
1414	13868	5733
1415	13877	5723
1416	13888	5714
1417	13897	5703
1418	13907	5694
1419	13918	5685
1420	13930	5676
1421	13942	5667
1422	13955	5658
1423	13966	5649
1424	13977	5640
1425	13989	5631
1426	14000	5621
1427	14009	5611
1428	14020	5602
1429	14029	5592
1430	14039	5582
1431	14050	5573
1432	14059	5563
1433	14071	5553
1434	14080	5543
1435	14090	5534
1436	14101	5524
1437	14111	5514
1438	14121	5505
1439	14132	5495
1440	14142	5486
1441	14153	5476
1442	14164	5467
1443	14174	5457
1444	14184	5448
1445	14193	5438
1446	14202	5427
1447	14212	5417
1448	14221	5407
1449	14231	5398
1450	14241	5388
1451	14251	5378
1452	14261	5369
1453	14271	5359
1454	14281	5349
1455	14291	5339
1456	14301	5330
1457	14312	5320
1458	14321	5310
1459	14333	5301
1460	14343	5291
1461	14353	5282
1462	14365	5273
1463	14375	5263
1464	14386	5253
1465	14397	5244
1466	14407	5234
1467	14417	5224
1468	14427	5214
1469	14436	5205
1470	14447	5195
1471	14455	5185
1472	14465	5175
1473	14473	5164
1474	14483	5155
1475	14493	5145
1476	14502	5135
1477	14514	5126
1478	14524	5116
1479	14534	5106
1480	14544	5096
1481	14554	5087
1482	14566	5078
1483	14577	5068
1484	14587	5058
1485	14598	5049
1486	14608	5039
1487	14617	5029
1488	14629	5020
1489	14639	5010
1490	14649	5000
1491	14660	4991
1492	14668	4981
1493	14678	4971
1494	14687	4961
1495	14695	4950
1496	14705	4941
1497	14715	4931
1498	14724	4921
1499	14734	4911
1500	14743	4901
1501	14751	4890
1502	14760	4880
1503	14769	4870
1504	14779	4860
1505	14788	4850
1506	14798	4841
1507	14807	4831
1508	14817	4821
1509	14827	4811
1510	14838	4801
1511	14849	4792
1512	14858	4782
1513	14869	4773
1514	14878	4763
1515	14889	4753
1516	14898	4743
1517	14908	4733
1518	14918	4724
1519	14929	4714
1520	14939	4704
1521	14950	4695
1522	14959	4685
1523	14968	4675
1524	14977	4665
1525	14987	4655
1526	14997	4645
1527	15007	4635
1528	15018	4626
1529	15029	4616
1530	15040	4607
1531	15050	4597
1532	15061	4588
1533	15070	4578
1534	15080	4568
1535	15091	4558
1536	15101	4549
1537	15112	4539
1538	15121	4529
1539	15130	4519
1540	15140	4509
1541	15150	4499
1542	15162	4490
1543	15173	4481
1544	15183	4471
1545	15192	4461
1546	15201	4451
1547	15212	4441
1548	15223	4432
1549	15234	4422
1550	15244	4413
1551	15254	4403
1552	15264	4393
1553	15275	4383
1554	15288	4375
1555	15297	4365
1556	15307	4355
1557	15318	4345
1558	15327	4335
1559	15337	4325
1560	15346	4315
1561	15355	4305
1562	15367	4296
1563	15377	4286
1564	15388	4277
1565	15398	4267
1566	15409	4257
1567	15419	4248
1568	15429	4238
1569	15439	4228
1570	15449	4218
1571	15459	4208
1572	15468	4198
1573	15477	4188
1574	15486	4178
1575	15495	4168
1576	15505	4159
1577	15517	4149
1578	15527	4140
1579	15537	4130
1580	15547	4120
1581	15558	4110
1582	15569	4101
1583	15578	4091
1584	15588	4081
1585	15598	4071
1586	15607	4061
1587	15617	4051
1588	15627	4041
1589	15636	4032
1590	15645	4022
1591	15656	4012
1592	15665	4002
1593	15675	3992
1594	15684	3982
1595	15694	3972
1596	15705	3963
1597	15716	3953
1598	15724	3943
1599	15734	3933
1600	15744	3923
1601	15753	3913
1602	15762	3903
1603	15771	3893
1604	15780	3883
1605	15789	3873
1606	15799	3863
1607	15808	3853
1608	15817	3843
1609	15827	3834
1610	15837	3824
1611	15846	3814
1612	15855	3804
1613	15865	3794
1614	15875	3784
1615	15884	3774
1616	15894	3764
1617	15904	3754
1618	15914	3745
1619	15924	3735
1620	15937	3726
1621	15948	3716
1622	15957	3706
1623	15967	3696
1624	15976	3686
1625	15985	3676
1626	15995	3666
1627	16004	3656
1628	16014	3647
1629	16024	3637
1630	16033	3627
1631	16042	3617
1632	16051	3607
1633	16060	3597
1634	16069	3587
1635	16079	3577
1636	16090	3567
1637	16099	3557
1638	16108	3548
1639	16118	3538
1640	16128	3528
1641	16138	3518
1642	16149	3509
1643	16159	3499
1644	16169	3489
1645	16179	3479
1646	16188	3469
1647	16197	3459
1648	16208	3450
1649	16217	3439
1650	16227	3430
1651	16236	3420
1652	16246	3410
1653	16256	3400
1654	16265	3390
1655	16275	3380
1656	16284	3370
1657	16294	3361
1658	16304	3351
1659	16313	3341
1660	16323	3331
1661	16332	3321
1662	16341	3311
1663	16352	3301
1664	16363	3292
1665	16373	3282
1666	16382	3272
1667	16392	3262
1668	16402	3252
1669	16412	3243
1670	16423	3233
1671	16432	3223
